,stature,weightkg,t_shirt_size
0,1560,657,3
1,1665,534,2
2,1711,663,2
3,1660,782,3
4,1572,886,5
5,1707,837,4
6,1644,732,3
7,1671,760,3
8,1521,545,2
9,1590,684,3
10,1707,990,4
11,1668,742,4
12,1654,781,4
13,1666,718,3
14,1599,709,3
15,1673,672,3
16,1647,620,2
17,1678,595,2
18,1679,741,3
19,1615,605,2
20,1517,800,5
21,1674,747,3
22,1623,491,2
23,1668,703,3
24,1644,715,3
25,1579,708,4
26,1446,488,2
27,1620,691,3
28,1684,730,4
29,1619,610,2
30,1592,658,3
31,1655,709,3
32,1723,728,3
33,1677,846,4
34,1654,945,5
35,1634,627,2
36,1683,578,3
37,1552,524,2
38,1617,732,4
39,1588,791,3
40,1641,894,5
41,1685,689,3
42,1656,758,3
43,1603,731,4
44,1608,748,3
45,1664,806,4
46,1619,714,3
47,1620,712,3
48,1720,657,2
49,1582,477,1
50,1720,696,3
51,1720,1196,6
52,1701,887,4
53,1627,754,4
54,1536,678,3
55,1546,607,3
56,1654,572,2
57,1605,689,3
58,1630,712,3
59,1612,604,2
60,1757,697,2
61,1670,854,4
62,1632,617,3
63,1635,790,4
64,1682,672,3
65,1661,695,3
66,1596,669,3
67,1596,574,3
68,1665,815,4
69,1617,618,2
70,1555,645,2
71,1578,557,2
72,1581,614,3
73,1698,668,3
74,1554,730,4
75,1756,737,3
76,1566,693,4
77,1651,757,4
78,1585,740,4
79,1657,682,3
80,1719,867,4
81,1822,882,4
82,1649,786,4
83,1687,622,3
84,1698,782,4
85,1530,608,2
86,1581,674,3
87,1609,686,3
88,1644,670,3
89,1548,635,2
90,1606,773,4
91,1642,555,2
92,1622,727,3
93,1669,593,2
94,1745,998,4
95,1495,581,3
96,1493,642,3
97,1641,758,4
98,1607,683,3
99,1560,471,2
100,1625,665,3
101,1670,685,3
102,1616,579,2
103,1582,647,4
104,1730,591,3
105,1501,450,2
106,1515,572,3
107,1576,721,3
108,1628,676,3
109,1586,711,3
110,1737,791,3
111,1576,536,2
112,1626,639,3
113,1604,628,3
114,1673,788,4
115,1642,598,3
116,1538,752,4
117,1574,686,3
118,1637,668,3
119,1620,613,3
120,1733,742,3
121,1526,522,2
122,1732,767,3
123,1624,661,3
124,1507,505,2
125,1560,637,3
126,1640,666,3
127,1675,610,2
128,1526,581,2
129,1623,609,2
130,1584,575,2
131,1671,797,4
132,1552,745,4
133,1633,614,2
134,1530,677,3
135,1606,508,2
136,1617,633,3
137,1645,711,3
138,1681,727,3
139,1655,679,3
140,1626,833,4
141,1635,622,2
142,1572,616,3
143,1608,573,2
144,1662,507,2
145,1582,611,3
146,1701,866,5
147,1602,523,2
148,1549,676,3
149,1561,549,2
150,1677,571,2
151,1594,644,3
152,1628,649,3
153,1549,592,3
154,1559,563,2
155,1619,580,3
156,1690,810,4
157,1698,649,2
158,1705,654,2
159,1625,570,2
160,1666,805,3
161,1559,671,3
162,1595,673,3
163,1634,550,2
164,1643,708,3
165,1667,538,3
166,1661,771,4
167,1560,602,2
168,1610,719,3
169,1610,617,2
170,1682,761,3
171,1604,739,3
172,1540,560,2
173,1638,647,2
174,1656,724,3
175,1597,708,4
176,1749,953,4
177,1661,748,3
178,1526,700,4
179,1583,655,3
180,1533,499,2
181,1575,553,2
182,1776,924,4
183,1713,716,4
184,1653,676,2
185,1516,641,4
186,1658,666,3
187,1617,663,3
188,1687,763,3
189,1603,717,4
190,1539,643,3
191,1603,591,3
192,1620,529,2
193,1617,694,3
194,1600,699,4
195,1572,592,2
196,1632,540,2
197,1690,701,3
198,1682,681,2
199,1657,864,4
200,1672,672,3
201,1621,559,2
202,1623,566,2
203,1633,585,3
204,1526,628,3
205,1570,467,2
206,1616,599,2
207,1690,642,3
208,1637,813,4
209,1718,719,3
210,1588,548,2
211,1520,485,2
212,1618,658,3
213,1631,753,3
214,1642,636,3
215,1719,752,3
216,1715,755,3
217,1653,469,2
218,1590,537,2
219,1751,758,3
220,1583,679,3
221,1627,684,3
222,1586,677,3
223,1675,617,2
224,1606,717,3
225,1680,642,2
226,1773,740,3
227,1680,792,4
228,1645,581,2
229,1558,727,4
230,1665,704,3
231,1601,653,4
232,1658,725,3
233,1623,721,3
234,1661,561,2
235,1563,583,2
236,1630,677,3
237,1528,576,2
238,1653,559,2
239,1512,468,2
240,1629,567,2
241,1675,820,4
242,1498,664,3
243,1538,626,3
244,1567,653,3
245,1590,539,2
246,1573,750,4
247,1595,704,3
248,1610,675,4
249,1565,640,3
250,1523,470,2
251,1570,502,2
252,1556,597,3
253,1599,646,3
254,1611,726,3
255,1681,631,2
256,1585,631,3
257,1614,660,4
258,1674,789,3
259,1653,531,2
260,1593,708,4
261,1592,625,3
262,1617,680,3
263,1589,734,4
264,1597,688,3
265,1698,840,4
266,1619,647,3
267,1663,561,2
268,1606,735,3
269,1609,733,4
270,1696,605,3
271,1723,722,3
272,1748,908,4
273,1695,760,3
274,1648,606,3
275,1579,573,2
276,1587,602,3
277,1604,669,4
278,1603,829,5
279,1712,765,3
280,1628,671,3
281,1520,589,3
282,1640,615,3
283,1616,529,2
284,1684,847,4
285,1649,596,2
286,1677,666,3
287,1653,676,3
288,1638,658,3
289,1646,596,2
290,1619,735,4
291,1530,556,2
292,1603,561,2
293,1680,560,2
294,1602,871,4
295,1447,736,4
296,1627,613,3
297,1594,505,2
298,1688,823,4
299,1547,561,2
300,1621,754,3
301,1625,593,2
302,1597,695,3
303,1602,820,4
304,1614,583,3
305,1743,920,4
306,1603,841,4
307,1576,842,5
308,1619,660,3
309,1754,896,4
310,1709,842,3
311,1789,845,4
312,1587,596,3
313,1687,688,3
314,1665,690,2
315,1573,748,3
316,1654,699,2
317,1582,691,3
318,1575,566,2
319,1600,699,3
320,1584,468,2
321,1535,701,3
322,1593,832,4
323,1583,789,4
324,1608,592,3
325,1663,583,2
326,1609,746,4
327,1513,428,1
328,1704,853,4
329,1708,664,3
330,1506,577,3
331,1583,565,2
332,1731,714,3
333,1669,762,3
334,1640,556,2
335,1613,561,2
336,1640,641,3
337,1581,766,3
338,1664,702,3
339,1562,561,2
340,1722,812,4
341,1564,725,3
342,1589,686,3
343,1789,924,3
344,1608,662,4
345,1595,562,2
346,1590,564,2
347,1575,653,3
348,1539,679,4
349,1654,777,3
350,1616,632,3
351,1646,697,3
352,1548,681,3
353,1617,570,2
354,1527,742,4
355,1653,589,2
356,1606,750,4
357,1700,744,3
358,1672,815,4
359,1728,765,3
360,1677,827,4
361,1790,793,4
362,1643,735,3
363,1584,620,3
364,1583,659,3
365,1640,705,3
366,1562,493,2
367,1650,643,2
368,1656,654,3
369,1624,655,4
370,1631,856,5
371,1715,632,2
372,1607,648,2
373,1600,604,2
374,1571,702,3
375,1603,659,2
376,1599,771,4
377,1602,524,2
378,1642,685,3
379,1715,1017,5
380,1634,487,2
381,1657,824,4
382,1626,724,4
383,1536,617,3
384,1698,696,2
385,1652,753,3
386,1611,785,4
387,1764,812,3
388,1586,485,2
389,1592,595,2
390,1782,740,3
391,1708,799,3
392,1650,645,3
393,1612,725,3
394,1660,600,2
395,1629,630,2
396,1630,762,4
397,1743,696,2
398,1688,818,5
399,1580,508,2
400,1610,665,3
401,1556,400,1
402,1585,736,4
403,1685,770,4
404,1592,630,3
405,1698,761,3
406,1648,690,3
407,1575,573,2
408,1602,617,3
409,1669,663,2
410,1637,850,4
411,1690,601,3
412,1664,655,3
413,1710,716,3
414,1596,611,2
415,1656,1000,5
416,1586,791,3
417,1653,676,3
418,1661,740,4
419,1495,501,2
420,1633,587,2
421,1652,696,3
422,1596,599,2
423,1715,809,4
424,1724,788,3
425,1741,797,3
426,1707,746,3
427,1684,740,3
428,1586,569,2
429,1611,829,4
430,1658,770,4
431,1673,751,3
432,1770,889,4
433,1574,661,2
434,1715,842,4
435,1525,558,3
436,1650,983,5
437,1537,535,2
438,1568,581,2
439,1569,684,2
440,1711,725,3
441,1639,757,4
442,1638,733,3
443,1756,704,3
444,1618,590,2
445,1745,835,4
446,1569,635,3
447,1668,546,2
448,1619,610,2
449,1657,820,4
450,1628,685,3
451,1660,574,2
452,1683,616,2
453,1672,678,3
454,1623,558,2
455,1672,588,2
456,1619,591,2
457,1558,511,2
458,1649,591,2
459,1730,671,2
460,1527,522,2
461,1670,565,2
462,1583,774,4
463,1643,730,3
464,1717,669,3
465,1623,718,3
466,1630,594,2
467,1710,680,3
468,1730,779,3
469,1725,695,3
470,1680,755,3
471,1682,645,3
472,1680,843,5
473,1829,688,2
474,1675,643,3
475,1727,689,4
476,1615,651,3
477,1497,460,2
478,1613,610,2
479,1771,925,4
480,1588,666,3
481,1736,821,4
482,1664,591,2
483,1584,722,3
484,1712,770,3
485,1658,617,2
486,1646,685,3
487,1723,689,3
488,1578,587,2
489,1671,742,4
490,1580,820,4
491,1584,557,3
492,1670,648,3
493,1585,566,2
494,1638,584,3
495,1589,599,2
496,1659,785,4
497,1550,654,3
498,1730,838,4
499,1500,644,3
500,1615,809,4
501,1645,677,2
502,1727,847,4
503,1667,781,4
504,1519,552,3
505,1700,832,4
506,1628,694,2
507,1600,786,4
508,1747,851,3
509,1583,678,3
510,1662,645,3
511,1697,618,2
512,1732,843,3
513,1647,793,4
514,1589,727,4
515,1545,645,3
516,1659,755,3
517,1522,555,3
518,1651,779,3
519,1767,763,3
520,1608,785,3
521,1605,717,3
522,1734,674,3
523,1661,730,3
524,1589,754,4
525,1741,776,2
526,1670,810,4
527,1680,667,2
528,1736,791,3
529,1682,763,3
530,1714,650,3
531,1546,513,2
532,1634,591,2
533,1568,658,3
534,1536,504,2
535,1584,685,3
536,1646,629,3
537,1664,568,2
538,1658,661,2
539,1738,683,2
540,1745,791,3
541,1595,907,4
542,1625,783,3
543,1623,709,3
544,1518,509,2
545,1525,623,3
546,1557,664,3
547,1730,921,4
548,1601,671,3
549,1597,547,2
550,1743,784,3
