,chestcircumference,waistcircumference,weightkg,stature,t_shirt_size
0,922,850,657,1560,3
1,839,708,534,1665,2
2,874,727,663,1711,2
3,1008,923,782,1660,3
4,1089,1163,886,1572,5
5,1031,968,837,1707,4
6,988,964,732,1644,3
7,968,914,760,1671,3
8,831,755,545,1521,2
9,1010,944,684,1590,3
10,1065,935,990,1707,4
11,1034,942,742,1668,4
12,1063,995,781,1654,4
13,937,848,718,1666,3
14,989,929,709,1599,3
15,940,835,672,1673,3
16,835,772,620,1647,2
17,897,805,595,1678,2
18,979,868,741,1679,3
19,853,792,605,1615,2
20,1090,1137,800,1517,5
21,941,881,747,1674,3
22,857,702,491,1623,2
23,973,954,703,1668,3
24,975,796,715,1644,3
25,1026,1000,708,1579,4
26,832,742,488,1446,2
27,921,912,691,1620,3
28,1032,913,730,1684,4
29,904,821,610,1619,2
30,951,930,658,1592,3
31,950,901,709,1655,3
32,965,935,728,1723,3
33,1115,1077,846,1677,4
34,1170,1112,945,1654,5
35,895,812,627,1634,2
36,944,869,578,1683,3
37,833,712,524,1552,2
38,1025,1057,732,1617,4
39,982,964,791,1588,3
40,1060,1134,894,1641,5
41,991,869,689,1685,3
42,994,942,758,1656,3
43,1071,1019,731,1603,4
44,945,865,748,1608,3
45,1094,975,806,1664,4
46,932,814,714,1619,3
47,1013,947,712,1620,3
48,910,794,657,1720,2
49,793,679,477,1582,1
50,954,890,696,1720,3
51,1161,1334,1196,1720,6
52,1135,1076,887,1701,4
53,1095,1007,754,1627,4
54,1014,897,678,1536,3
55,946,832,607,1546,3
56,814,766,572,1654,2
57,940,878,689,1605,3
58,988,943,712,1630,3
59,904,825,604,1612,2
60,876,812,697,1757,2
61,1090,1062,854,1670,4
62,943,914,617,1632,3
63,1132,987,790,1635,4
64,977,868,672,1682,3
65,977,839,695,1661,3
66,1006,814,669,1596,3
67,936,804,574,1596,3
68,1065,925,815,1665,4
69,890,805,618,1617,2
70,900,811,645,1555,2
71,862,757,557,1578,2
72,896,839,614,1581,3
73,943,821,668,1698,3
74,1092,1001,730,1554,4
75,920,860,737,1756,3
76,1071,922,693,1566,4
77,1001,1012,757,1651,4
78,1126,981,740,1585,4
79,982,870,682,1657,3
80,1069,931,867,1719,4
81,1061,895,882,1822,4
82,1031,925,786,1649,4
83,924,751,622,1687,3
84,999,1019,782,1698,4
85,865,784,608,1530,2
86,998,917,674,1581,3
87,930,865,686,1609,3
88,934,847,670,1644,3
89,856,785,635,1548,2
90,979,1004,773,1606,4
91,852,759,555,1642,2
92,1014,955,727,1622,3
93,841,694,593,1669,2
94,1057,1068,998,1745,4
95,986,948,581,1495,3
96,951,912,642,1493,3
97,1068,989,758,1641,4
98,945,887,683,1607,3
99,826,698,471,1560,2
100,978,822,665,1625,3
101,978,885,685,1670,3
102,870,764,579,1616,2
103,1080,943,647,1582,4
104,921,809,591,1730,3
105,846,739,450,1501,2
106,959,826,572,1515,3
107,1022,962,721,1576,3
108,878,849,676,1628,3
109,1029,951,711,1586,3
110,936,889,791,1737,3
111,834,790,536,1576,2
112,931,811,639,1626,3
113,981,831,628,1604,3
114,1037,958,788,1673,4
115,981,761,598,1642,3
116,1052,1070,752,1538,4
117,1028,923,686,1574,3
118,946,949,668,1637,3
119,930,858,613,1620,3
120,937,859,742,1733,3
121,810,721,522,1526,2
122,991,908,767,1732,3
123,985,880,661,1624,3
124,844,759,505,1507,2
125,965,919,637,1560,3
126,985,908,666,1640,3
127,862,731,610,1675,2
128,863,820,581,1526,2
129,870,821,609,1623,2
130,815,740,575,1584,2
131,1057,1024,797,1671,4
132,1137,932,745,1552,4
133,874,827,614,1633,2
134,1004,896,677,1530,3
135,844,738,508,1606,2
136,950,832,633,1617,3
137,1013,851,711,1645,3
138,960,859,727,1681,3
139,992,906,679,1655,3
140,1069,1028,833,1626,4
141,838,786,622,1635,2
142,962,853,616,1572,3
143,899,745,573,1608,2
144,828,737,507,1662,2
145,940,802,611,1582,3
146,1156,1045,866,1701,5
147,886,763,523,1602,2
148,991,955,676,1549,3
149,899,719,549,1561,2
150,889,746,571,1677,2
151,907,874,644,1594,3
152,940,772,649,1628,3
153,949,802,592,1549,3
154,866,719,563,1559,2
155,907,862,580,1619,3
156,983,1044,810,1690,4
157,895,817,649,1698,2
158,892,817,654,1705,2
159,875,816,570,1625,2
160,1012,939,805,1666,3
161,1026,863,671,1559,3
162,977,915,673,1595,3
163,812,764,550,1634,2
164,913,899,708,1643,3
165,943,782,538,1667,3
166,1032,897,771,1661,4
167,878,817,602,1560,2
168,971,900,719,1610,3
169,906,830,617,1610,2
170,1024,947,761,1682,3
171,1028,958,739,1604,3
172,881,767,560,1540,2
173,919,777,647,1638,2
174,918,896,724,1656,3
175,1118,968,708,1597,4
176,1130,997,953,1749,4
177,1002,879,748,1661,3
178,1039,1000,700,1526,4
179,934,931,655,1583,3
180,844,748,499,1533,2
181,821,734,553,1575,2
182,1072,1021,924,1776,4
183,1084,874,716,1713,4
184,918,803,676,1653,2
185,1032,935,641,1516,4
186,971,810,666,1658,3
187,1022,882,663,1617,3
188,987,920,763,1687,3
189,1036,1085,717,1603,4
190,990,923,643,1539,3
191,965,840,591,1603,3
192,817,783,529,1620,2
193,993,924,694,1617,3
194,1031,972,699,1600,4
195,877,774,592,1572,2
196,818,708,540,1632,2
197,945,879,701,1690,3
198,916,830,681,1682,2
199,1050,980,864,1657,4
200,881,883,672,1672,3
201,912,754,559,1621,2
202,854,767,566,1623,2
203,887,868,585,1633,3
204,1005,938,628,1526,3
205,825,682,467,1570,2
206,874,762,599,1616,2
207,972,802,642,1690,3
208,1026,1060,813,1637,4
209,979,922,719,1718,3
210,873,783,548,1588,2
211,844,707,485,1520,2
212,921,795,658,1618,3
213,1000,862,753,1631,3
214,938,929,636,1642,3
215,952,858,752,1719,3
216,931,784,755,1715,3
217,814,632,469,1653,2
218,913,809,537,1590,2
219,950,912,758,1751,3
220,950,941,679,1583,3
221,915,854,684,1627,3
222,923,885,677,1586,3
223,909,783,617,1675,2
224,986,927,717,1606,3
225,870,785,642,1680,2
226,942,858,740,1773,3
227,1105,958,792,1680,4
228,838,707,581,1645,2
229,1086,1004,727,1558,4
230,985,905,704,1665,3
231,960,989,653,1601,4
232,964,906,725,1658,3
233,1015,854,721,1623,3
234,862,738,561,1661,2
235,861,784,583,1563,2
236,927,871,677,1630,3
237,906,811,576,1528,2
238,847,728,559,1653,2
239,841,763,468,1512,2
240,855,793,567,1629,2
241,1072,1001,820,1675,4
242,988,922,664,1498,3
243,984,829,626,1538,3
244,938,850,653,1567,3
245,866,731,539,1590,2
246,1063,996,750,1573,4
247,949,871,704,1595,3
248,982,1036,675,1610,4
249,935,835,640,1565,3
250,845,665,470,1523,2
251,836,671,502,1570,2
252,949,769,597,1556,3
253,954,850,646,1599,3
254,940,936,726,1611,3
255,915,758,631,1681,2
256,925,888,631,1585,3
257,1032,941,660,1614,4
258,988,812,789,1674,3
259,838,704,531,1653,2
260,992,1027,708,1593,4
261,969,885,625,1592,3
262,957,872,680,1617,3
263,1093,1041,734,1589,4
264,997,859,688,1597,3
265,1090,1022,840,1698,4
266,923,790,647,1619,3
267,844,711,561,1663,2
268,1011,941,735,1606,3
269,997,1076,733,1609,4
270,943,797,605,1696,3
271,934,904,722,1723,3
272,1031,979,908,1748,4
273,985,888,760,1695,3
274,935,769,606,1648,3
275,872,807,573,1579,2
276,996,839,602,1587,3
277,994,975,669,1604,4
278,1131,1127,829,1603,5
279,966,930,765,1712,3
280,908,907,671,1628,3
281,985,919,589,1520,3
282,896,839,615,1640,3
283,864,697,529,1616,2
284,1095,1088,847,1684,4
285,890,805,596,1649,2
286,965,844,666,1677,3
287,958,915,676,1653,3
288,926,862,658,1638,3
289,878,835,596,1646,2
290,951,1000,735,1619,4
291,858,789,556,1530,2
292,870,777,561,1603,2
293,875,796,560,1680,2
294,1139,1017,871,1602,4
295,1064,1074,736,1447,4
296,923,688,613,1627,3
297,861,713,505,1594,2
298,1057,1035,823,1688,4
299,896,827,561,1547,2
300,991,950,754,1621,3
301,904,805,593,1625,2
302,981,896,695,1597,3
303,1046,905,820,1602,4
304,952,833,583,1614,3
305,1067,1055,920,1743,4
306,1105,1071,841,1603,4
307,1196,1111,842,1576,5
308,999,871,660,1619,3
309,1052,969,896,1754,4
310,1014,942,842,1709,3
311,1048,964,845,1789,4
312,896,887,596,1587,3
313,943,838,688,1687,3
314,899,826,690,1665,2
315,996,950,748,1573,3
316,911,819,699,1654,2
317,1005,920,691,1582,3
318,873,744,566,1575,2
319,976,880,699,1600,3
320,834,740,468,1584,2
321,986,829,701,1535,3
322,1062,1029,832,1593,4
323,1004,973,789,1583,4
324,896,845,592,1608,3
325,861,828,583,1663,2
326,951,1020,746,1609,4
327,772,675,428,1513,1
328,1034,1007,853,1704,4
329,899,858,664,1708,3
330,955,804,577,1506,3
331,867,811,565,1583,2
332,971,864,714,1731,3
333,966,871,762,1669,3
334,800,824,556,1640,2
335,812,724,561,1613,2
336,946,849,641,1640,3
337,1008,918,766,1581,3
338,971,829,702,1664,3
339,918,799,561,1562,2
340,987,1017,812,1722,4
341,969,900,725,1564,3
342,979,917,686,1589,3
343,1017,970,924,1789,3
344,1058,884,662,1608,4
345,887,796,562,1595,2
346,859,785,564,1590,2
347,980,870,653,1575,3
348,1037,905,679,1539,4
349,984,958,777,1654,3
350,959,855,632,1616,3
351,988,869,697,1646,3
352,900,875,681,1548,3
353,827,722,570,1617,2
354,1089,1034,742,1527,4
355,895,757,589,1653,2
356,1024,995,750,1606,4
357,948,812,744,1700,3
358,1131,954,815,1672,4
359,988,928,765,1728,3
360,1098,1049,827,1677,4
361,1033,958,793,1790,4
362,960,912,735,1643,3
363,955,822,620,1584,3
364,1023,935,659,1583,3
365,1000,957,705,1640,3
366,866,707,493,1562,2
367,881,771,643,1650,2
368,950,806,654,1656,3
369,1020,1002,655,1624,4
370,1159,1044,856,1631,5
371,866,815,632,1715,2
372,908,752,648,1607,2
373,883,831,604,1600,2
374,993,880,702,1571,3
375,920,817,659,1603,2
376,1122,938,771,1599,4
377,829,797,524,1602,2
378,925,773,685,1642,3
379,1096,1103,1017,1715,5
380,862,679,487,1634,2
381,1059,1055,824,1657,4
382,1086,856,724,1626,4
383,968,868,617,1536,3
384,908,818,696,1698,2
385,956,846,753,1652,3
386,1043,1032,785,1611,4
387,1003,911,812,1764,3
388,825,650,485,1586,2
389,899,804,595,1592,2
390,958,880,740,1782,3
391,1028,970,799,1708,3
392,957,841,645,1650,3
