,stature,weightkg,t_shirt_size
0,1776,815,3
1,1702,726,2
2,1735,929,3
3,1655,794,3
4,1914,946,2
5,1720,802,2
6,1810,1162,4
7,1850,954,3
8,1777,995,4
9,1811,702,2
10,1780,882,3
11,1733,701,2
12,1814,1037,3
13,1861,1116,4
14,1709,896,3
15,1740,924,3
16,1694,779,3
17,1766,969,3
18,1748,760,2
19,1794,908,3
20,1780,714,2
21,1680,746,2
22,1653,792,3
23,1959,915,2
24,1755,965,3
25,1630,675,2
26,1825,1073,4
27,1795,793,2
28,1745,782,2
29,1818,882,2
30,1881,715,1
31,1760,947,3
32,1675,665,2
33,1852,879,2
34,1785,675,1
35,1791,884,4
36,1685,695,2
37,1850,1218,5
38,1737,719,2
39,1743,881,3
40,1744,575,1
41,1679,876,4
42,1836,850,2
43,1730,865,3
44,1762,958,4
45,1669,667,1
46,1740,706,2
47,1709,847,3
48,1879,1013,3
49,1674,856,3
50,1779,1095,4
51,1844,834,3
52,1637,727,3
53,1754,986,3
54,1704,773,2
55,1840,1400,5
56,1783,674,1
57,1748,884,3
58,1703,988,5
59,1852,952,3
60,1609,566,1
61,1709,717,2
62,1835,717,2
63,1679,802,2
64,1742,988,4
65,1698,662,2
66,1671,807,3
67,1850,1053,4
68,1754,683,1
69,1619,749,2
70,1772,738,2
71,1705,604,1
72,1619,774,3
73,1726,768,2
74,1840,1022,4
75,1743,963,4
76,1674,923,3
77,1750,988,3
78,1819,887,2
79,1799,987,2
80,1750,852,3
81,1723,748,2
82,1809,920,3
83,1791,744,2
84,1723,823,3
85,1578,627,2
86,1718,778,3
87,1799,882,3
88,1740,590,1
89,1702,730,2
90,1737,864,2
91,1730,866,3
92,1785,737,2
93,1817,654,1
94,1843,696,1
95,1791,775,2
96,1657,727,2
97,1701,797,3
98,1786,744,2
99,1755,968,4
100,1791,866,2
101,1759,742,2
102,1790,920,3
103,1782,814,2
104,1839,646,1
105,1880,954,4
106,1738,853,3
107,1734,900,3
108,1819,835,2
109,1683,851,3
110,1815,897,3
111,1815,872,2
112,1673,822,3
113,1831,1112,4
114,1795,987,4
115,1845,1105,4
116,1687,782,2
117,1756,869,3
118,1846,1413,5
119,1657,789,2
120,1632,690,2
121,1735,792,2
122,1726,699,2
123,1877,1212,5
124,1887,878,3
125,1765,706,2
126,1793,822,2
127,1849,992,3
128,1811,760,2
129,1739,988,3
130,1668,759,2
131,1788,898,3
132,1746,782,2
133,1750,831,3
134,1810,996,3
135,1710,742,2
136,1847,968,3
137,1811,916,3
138,1780,1080,4
139,1740,788,2
140,1797,949,3
141,1755,906,3
142,1842,1069,4
143,1656,874,2
144,1776,879,3
145,1859,1154,4
146,1685,790,2
147,1775,887,2
148,1825,866,2
149,1931,806,2
150,1789,966,3
151,1819,1099,4
152,1782,771,3
153,1721,951,3
154,1910,1118,4
155,1804,895,3
156,1782,1060,4
157,1777,951,3
158,1665,721,2
159,1803,872,3
160,1879,978,3
161,1733,974,4
162,1835,958,3
