,chestcircumference,waistcircumference,weightkg,stature,t_shirt_size
0,1074,933,815,1776,3
1,1021,870,726,1702,2
2,1120,964,929,1735,3
3,1114,857,794,1655,3
4,1048,868,946,1914,2
5,1066,950,802,1720,2
6,1208,1073,1162,1810,4
7,1087,1010,954,1850,3
8,1181,1065,995,1777,4
9,964,824,702,1811,2
10,1117,994,882,1780,3
11,961,866,701,1733,2
12,1151,986,1037,1814,3
13,1231,1045,1116,1861,4
14,1060,1007,896,1709,3
15,1092,1033,924,1740,3
16,1085,908,779,1694,3
17,1118,1028,969,1766,3
18,999,874,760,1748,2
19,1127,999,908,1794,3
20,1000,837,714,1780,2
21,977,880,746,1680,2
22,1079,978,792,1653,3
23,1011,827,915,1959,2
24,1098,1030,965,1755,3
25,957,885,675,1630,2
26,1158,1130,1073,1825,4
27,964,912,793,1795,2
28,971,864,782,1745,2
29,1057,965,882,1818,2
30,957,777,715,1881,1
31,1108,1063,947,1760,3
32,947,870,665,1675,2
33,1043,966,879,1852,2
34,965,806,675,1785,1
35,1174,1096,884,1791,4
36,951,895,695,1685,2
37,1182,1214,1218,1850,5
38,981,790,719,1737,2
39,1086,1002,881,1743,3
40,865,748,575,1744,1
41,1205,1043,876,1679,4
42,1013,864,850,1836,2
43,1152,969,865,1730,3
44,1096,1095,958,1762,4
45,957,770,667,1669,1
46,985,840,706,1740,2
47,1063,1028,847,1709,3
48,1137,1021,1013,1879,3
49,1106,1061,856,1674,3
50,1166,1139,1095,1779,4
51,1081,922,834,1844,3
52,1006,995,727,1637,3
53,1153,1047,986,1754,3
54,1037,885,773,1704,2
55,1469,1379,1400,1840,5
56,901,750,674,1783,1
57,1071,970,884,1748,3
58,1263,1068,988,1703,5
59,1146,1012,952,1852,3
60,858,754,566,1609,1
61,1044,926,717,1709,2
62,904,827,717,1835,2
63,1033,940,802,1679,2
64,1160,1133,988,1742,4
65,971,843,662,1698,2
66,1050,1021,807,1671,3
67,1213,1061,1053,1850,4
68,944,786,683,1754,1
69,989,855,749,1619,2
70,975,830,738,1772,2
71,939,743,604,1705,1
72,1091,967,774,1619,3
73,983,922,768,1726,2
74,1129,1120,1022,1840,4
75,1205,1060,963,1743,4
76,1123,1030,923,1674,3
77,1129,974,988,1750,3
78,1048,844,887,1819,2
79,1063,969,987,1799,2
80,1098,1010,852,1750,3
81,972,892,748,1723,2
82,1127,1032,920,1809,3
83,963,851,744,1791,2
84,1098,979,823,1723,3
85,953,857,627,1578,2
86,1024,979,778,1718,3
87,1043,984,882,1799,3
88,902,721,590,1740,1
89,1008,885,730,1702,2
90,1027,961,864,1737,2
91,1044,996,866,1730,3
92,917,838,737,1785,2
93,917,752,654,1817,1
94,924,775,696,1843,1
95,994,809,775,1791,2
96,1001,862,727,1657,2
97,1069,1027,797,1701,3
98,995,797,744,1786,2
99,1104,1082,968,1755,4
100,1045,942,866,1791,2
101,1015,871,742,1759,2
102,1109,912,920,1790,3
103,991,873,814,1782,2
104,844,785,646,1839,1
105,1176,1023,954,1880,4
106,1085,924,853,1738,3
107,1085,1001,900,1734,3
108,1021,901,835,1819,2
